HathiTrust ID	Author	Volume Title
coo.31924001398258	Huxley, Aldous	Island
coo.31924006462125	Verne, Jules	Off on a comet!
dul1.ark:/13960/t5gb2ss8d	Wells, H. G.	The first men in the moon
hvd.32044050819549	London, Jack	The iron heel
hvd.hn2vzk	Verne, Jules	Twenty thousand leagues under the sea
hvd.hn5bf5	Verne, Jules	Around the world in eighty days
inu.30000001395387	Lessing, Doris	Shikasta
inu.30000003963828	Priest, Christopher	The glamour
inu.30000007095734	Harrison, Harry	The stainless steel rat saves the world
inu.30000008738902	Piercy, Marge	Body of glass
inu.30000009621628	Lem, Stanisław	Memoirs of a space traveller: further reminiscences of Ijon Tichy
inu.30000009648548	Lem, Stanisław	More tales of Pirx the pilot
inu.30000026340889	Anthony, Piers	Phaze doubt
inu.30000027138738	Russo, Richard Paul	Subterranean gallery
inu.30000035592983	McCaffrey, Anne	Lyon's pride
inu.30000036612392	Banks, Iain	Consider Phlebas
inu.30000036960361	Banks, Iain	The player of games
inu.30000037504473	Moorcock, Michael	The time dweller
inu.30000039959758	Anthony, Piers	Mer-cycle
inu.30000041110531	McCaffrey, Anne and Jody Lynn Nye	The ship who won
inu.30000041175120	Harrison, Harry	The stainless steel rat sings the blues
inu.30000042648794	Noon, Jeff	Pollen
inu.30000056018702	Jones, Gwyneth	Seven tales and a fable
inu.30000081157426	Delany, Samuel R.	Nova
inu.30000093966897	Norton, Andre	Masks of the outcasts
inu.30000094835844	Asimov, Isaac	Robot dreams
inu.30000100422017	Barry, Max	Jennifer Government
inu.30000109821292	Smith, Cordwainer	We the underpeople
inu.30000114444015	Hubbard, L. Ron	The ultimate adventure
inu.32000000128217	Asimov, Isaac	Nine tomorrows
inu.32000000636839	Anderson, Poul	Un-man, and other novellas
inu.32000002768507	Watson, Ian	The Jonah kit
inu.32000005498060	Spinrad, Norman	No direction home
inu.32000009143902	Wyndham, John	Chocky
inu.39000000059332	Norton, Andre	Witch world
inu.39000001212799	Roberts, Keith	Pavane
inu.39000001553515	Disch, Thomas M.	Fundamental Disch
inu.39000002436611	Bradbury, Ray	The illustrated man
inu.39000002610124	Pohl, Frederik	Gateway
inu.39000002841497	Stapledon, Olaf	Last men in London
inu.39000003578593	Roberts, Keith	The chalk giants
inu.39000003644007	McCaffrey, Anne	To ride Pegasus
inu.39000003706418	Zelazny, Roger	My name is legion
mdp.39015000146798	Le Guin, Ursula K.	The wind's twelve quarters : short stories
mdp.39015000221716	Russ, Joanna	We who are about to ...
mdp.39015000532336	Gilman, Charlotte Perkins	Herland
mdp.39015000549199	Pohl, Frederik	Digits and dastards
mdp.39015000549207	Pohl, Frederik	Starburst (by Pohl)
mdp.39015000549348	Pohl, Frederik	Alternating currents
mdp.39015000549355	Pohl, Frederik	The cool war
mdp.39015000608953	Heinlein, Robert A.	The past through tomorrow; "Future history" stories
mdp.39015000611676	Miller, Walter M., Jr.	The science fiction stories of Walter M. Miller, Jr.
mdp.39015000622822	Heinlein, Robert A.	I will fear no evil
mdp.39015000625254	Knight, Damon	Three novels: Rule golden, Natural state, [and] The dying man
mdp.39015000651276	Tucker, Wilson	Wild talent
mdp.39015000668072	Simak, Clifford D.	Where the evil dwells
mdp.39015000684780	Wilhelm, Kate	Juniper time
mdp.39015001151276	Dick, Philip K.	A handful of darkness
mdp.39015001367005	Silverberg, Robert	Lord Valentine's castle
mdp.39015001537060	Herbert, Frank	Hellstrom's Hive
mdp.39015001553547	London, Jack	The scarlet plague
mdp.39015001577363	Zelazny, Roger	Eye of cat
mdp.39015001718371	Carter, Angela	The passion of new Eve
mdp.39015001742595	Bradbury, Ray	Dinosaur tales
mdp.39015001788184	Vonnegut, Kurt	Player piano
mdp.39015001817652	Zelazny, Roger	Today we choose faces
mdp.39015002131400	Hesse, Hermann	The glass bead game (Magister Ludi)
mdp.39015002154931	Anderson, Poul	There will be time
mdp.39015002174384	Simak, Clifford D.	Time is the simplest thing
mdp.39015002191446	Brunner, John	The shockwave rider
mdp.39015002231440	Huxley, Aldous	Brave new world
mdp.39015002288721	Asimov, Isaac	The stars, like dust
mdp.39015002288762	Asimov, Isaac	The end of eternity
mdp.39015002288788	Bester, Alfred	Golem 100
mdp.39015002289877	Le Guin, Ursula K.	The lathe of heaven
mdp.39015002661174	Dickson, Gordon R.	In iron years
mdp.39015002662453	Wilhelm, Kate	Where late the sweet birds sang
mdp.39015002691262	Bradley, Marion Zimmer	The sword of Aldones
mdp.39015002701798	Clarke, Arthur C.	Sands of Mars
mdp.39015002710450	Priest, Christopher	The affirmation
mdp.39015002754011	Schmitz, James H.	The demon breed
mdp.39015002756073	Russ, Joanna	And chaos died
mdp.39015002968108	Clarke, Arthur C.	The best of Arthur C. Clarke V1
mdp.39015002968892	Hoban, Russel	Riddley Walker
mdp.39015002969064	Lem, Stanisław	Solaris
mdp.39015003449090	Bradbury, Ray	Long after midnight
mdp.39015003465583	Ballard, J. G.	Vermilion sands
mdp.39015003491696	Anderson, Poul	The Queen of Air and Darkness
mdp.39015003491720	Anderson, Poul	Tales of the flying mountains
mdp.39015003491811	Simak, Clifford D.	The werewolf principle
mdp.39015003629394	Zelazny, Roger	Four for tomorrow
mdp.39015003629410	Zelazny, Roger	Damnation alley
mdp.39015003665547	Haldeman, Joe	The forever war
mdp.39015003756627	Clarke, Arthur C.	Earthlight
mdp.39015003862292	Norton, Andre	Sargasso of space
mdp.39015003900720	Lem, Stanisław	The cosmic carnival of Stanisław Lem
mdp.39015003919498	Strugatsky, Arkady and Boris Strugatsky	Definitely maybe : a manuscript discovered under unusual circumstances
mdp.39015003928853	Gernsback, Hugo	Ralph 124C 41+; a romance of the year 2660
mdp.39015003942128	Gotlieb, Phyllis	Sunburst
mdp.39015003972067	Anderson, Poul	The long way home
mdp.39015003972075	Anderson, Poul	Two worlds
