Opinion ID	State	Date
2827471	AK	2015-08-14
3175207	AK	2016-02-05
2498864	AK	2012-03-14
2824863	AK	2015-08-07
3133189	AK	2015-10-16
873585	AK	2013-05-31
2499732	AK	2012-05-18
4028763	AK	2016-08-26
895585	AK	2013-06-07
822835	AK	2013-02-22
2792933	AK	2015-04-10
1035425	AK	2013-07-19
2679743	AK	2014-06-20
2499737	AK	2012-04-27
2798018	AK	2015-05-01
3194701	AK	2016-04-15
2770631	AK	2015-01-09
2672439	AK	2014-05-02
2644496	AK	2013-11-29
1034464	AK	2013-07-19
4028761	AK	2016-08-26
822841	AK	2013-02-01
2329233	AK	2012-06-01
1037768	AK	2013-08-16
2499414	AK	2012-05-18
2822139	AK	2015-07-24
2350715	AK	2012-04-06
1034467	AK	2013-07-19
3133190	AK	2015-10-16
2812257	AK	2015-06-26
868153	AK	2013-05-17
2724004	AK	2014-09-05
2655918	AK	2014-03-07
4036645	AK	2016-09-16
4100003	AK	2016-11-18
3205503	AK	2016-05-20
3184898	AK	2016-03-11
2689320	AK	2014-08-01
2668908	AK	2014-04-04
2786095	AK	2015-03-13
2779332	AK	2015-02-13
2643661	AK	2013-11-22
949758	AK	2013-06-28
2646300	AK	2013-12-17
2732588	AK	2014-09-12
2768640	AK	2015-01-09
2344690	AK	2012-04-06
2645948	AK	2013-12-13
855993	AK	2013-03-22
2716465	AK	2014-08-08
2645950	AK	2013-12-13
3203367	AK	2016-05-13
2831989	AK	2015-08-28
4106052	AK	2016-12-09
2354048	AK	2012-02-08
2685781	AK	2014-07-18
822847	AK	2013-01-09
867619	AK	2013-05-03
2645951	AK	2013-12-13
1038342	AK	2013-08-23
822838	AK	2013-02-15
2329255	AK	2012-06-08
1040114	AK	2013-09-06
2673163	AK	2014-05-09
4091703	AK	2016-10-21
3158064	AK	2015-11-25
867621	AK	2013-04-26
2756151	AK	2014-11-28
1085134	AK	2013-10-11
2737442	AK	2014-09-19
2804427	AK	2015-05-29
2686355	AK	2014-07-30
2645952	AK	2013-12-13
2824865	AK	2015-08-07
2674727	AK	2014-05-16
854699	AK	2013-03-08
2832725	AK	2015-09-01
3201253	AK	2016-05-06
2786094	AK	2015-03-13
2716461	AK	2014-08-08
4108035	AK	2016-12-16
2647134	AK	2013-12-20
2681897	AK	2014-07-03
2499652	AK	2012-04-27
4028762	AK	2016-08-26
2682703	AK	2014-07-11
4023916	AK	2016-08-12
2342579	AK	2012-03-30
2669628	AK	2014-04-11
